agrp,rsex,ethnicgrpr,sexidr,rnssecgp_6,adj_imd_quintile,rwcasual,snnolov,snpres,snold,snsexdrv,snmedia,snearly,attconservative,dage1ch,disabil2,depscr,religimp,relstatr,total_wt
55-64,Female,White,Heterosexual/straight,Intermediate occupations,[least deprived],Mostly wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree,Agree,Agree,0.538917333015818,19.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.172602444464357
35-44,Female,White,Not heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree,Agree,-0.4738193147861124,26.0,None,No,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.5072339483597645
35-44,Male,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Sometimes wrong,Agree,Agree strongly,Agree,Neither agree or disagree,Agree,Agree strongly,0.5703777354943916,17.0,Limiting,Yes,Not very important,Living with partner,2.489775417241792
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,4.0,Rarely wrong,Agree,Agree,Disagree,Disagree,Agree,Agree,-0.8454374004446956,,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.934174566890518
65-74,Male,White,Not heterosexual/straight,Intermediate occupations,4.0,Sometimes wrong,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,-0.07408132140679811,,Limiting,No,Fairly important,In a steady & ongoing relationship  but not living with a partner in last year,0.8250245268093562
55-64,Female,White,Heterosexual/straight,Intermediate occupations,[most deprived],Not wrong at all,Agree,Agree,Disagree,Don't know,Agree,Agree,,21.0,Non-limiting,No,Very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.4857317201024964
16-24,Female,White,Heterosexual/straight,Student in full-time education,3.0,Sometimes wrong,Agree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,-1.275994726171061,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.38982336172661725
65-74,Male,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Always wrong,Disagree,Agree,Agree,Agree,Agree strongly,Agree strongly,1.732120607266745,25.0,Non-limiting,No,Not important at all,Widowed and not in a steady & ongoing relationship in last year,0.5411735798313988
65-74,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Always wrong,Disagree strongly,Agree strongly,Agree,Neither agree or disagree,Agree strongly,Agree,1.5945956402512254,22.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.4862825294889808
25-34,Female,White,Heterosexual/straight,Intermediate occupations,[least deprived],Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,0.010049865221608167,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.3648276625016092
16-24,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,2.0,Mostly wrong,Agree strongly,Agree strongly,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-0.7207636798648309,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5269061006774551
45-54,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,-0.16313350807658233,16.0,Non-limiting,No,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,1.376350960402842
35-44,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Mostly wrong,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree strongly,0.4923254946629687,22.0,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.1774119059742068
25-34,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Rarely wrong,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,-1.0268966073105164,24.0,None,Yes,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4479796722450946
45-54,Female,Not white,Heterosexual/straight,Managerial and prof occupations,4.0,Always wrong,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,0.25535885361019495,25.0,Limiting,No,Very important,Widowed and not in a steady & ongoing relationship in last year,1.6148586425616562
45-54,Female,Not white,Heterosexual/straight,Intermediate occupations,4.0,Depends/Don't know,Disagree,Don't know,Agree,Disagree,Don't know,Agree,,24.0,None,No,Fairly important,,0.8074293212808281
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Always wrong,Disagree,Agree,Agree,Neither agree or disagree,Agree strongly,Agree strongly,1.5480038018983757,27.0,Non-limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,0.9254674573340881
45-54,Female,Not white,Heterosexual/straight,Lower supervisory and technical occupations,[most deprived],Always wrong,Agree strongly,Don't know,Don't know,Don't know,Disagree,Disagree,,,None,No,Very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.8074293212808281
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Not wrong at all,Agree strongly,Disagree,Agree,Agree strongly,Disagree,Agree,-1.4652523356699856,,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.1995970960639473
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Sometimes wrong,Agree,Disagree,Agree,Agree strongly,Agree,Agree,-0.14874908731637626,,None,No,Fairly important,Living with partner,0.5486022020613274
16-24,Female,White,Heterosexual/straight,Student in full-time education,[most deprived],Not wrong at all,Agree strongly,Disagree strongly,Agree,Agree strongly,Disagree strongly,Agree,-2.0522790362273335,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.5801082941236582
65-74,Male,White,Heterosexual/straight,Small employers and own account workers,2.0,Mostly wrong,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,-0.08810084899886744,21.0,Limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.1088718769080668
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Mostly wrong,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Disagree,-1.925550607038804,29.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.9818159367423805
16-24,Female,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree,0.08217548031200442,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.7608038599455568
55-64,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,[least deprived],Not wrong at all,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree strongly,Neither agree or disagree,Agree,-1.5370322404014434,,None,No,Fairly important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.8883327383514861
65-74,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Always wrong,Agree strongly,Agree,Agree,Neither agree or disagree,Agree,Agree,0.014970865262986091,24.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.4836646426271616
16-24,Female,White,Heterosexual/straight,Student in full-time education,[least deprived],Rarely wrong,Agree strongly,Agree,Disagree,Disagree strongly,Disagree,Agree,-2.008855748889167,,Limiting,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.46549799576316986
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Not wrong at all,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Disagree,-0.5501889711540048,,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.7477765324938959
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Not wrong at all,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,-0.6206022371996925,,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.4671787891357306
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Always wrong,Disagree strongly,Agree strongly,Agree,Agree,Agree strongly,Agree strongly,2.2017208141976257,37.0,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.3575034595349673
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Rarely wrong,Agree,Agree,Disagree,Agree strongly,Agree,Agree strongly,0.12992138423844338,31.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.4507987815115293
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Not wrong at all,Agree,Agree strongly,Agree,Neither agree or disagree,Agree strongly,Agree strongly,0.5987520424510746,,None,No,Not very important,Living with partner,1.0530888911376284
65-74,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Always wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Disagree strongly,Agree strongly,Agree strongly,0.9437521503616857,20.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.3931198231353896
55-64,Male,White,Heterosexual/straight,Small employers and own account workers,[most deprived],Rarely wrong,Agree,Disagree,Agree,Disagree,Agree,Agree,-0.8697003560602371,19.0,Limiting,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.8035958254627704
45-54,Female,White,Heterosexual/straight,Student in full-time education,4.0,Always wrong,Disagree strongly,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,1.586834109990711,30.0,None,No,Fairly important,In a steady & ongoing relationship  but not living with a partner in last year,1.376350960402842
16-24,Female,White,Not heterosexual/straight,Intermediate occupations,[most deprived],Always wrong,Disagree,Agree strongly,Agree,Disagree,Neither agree or disagree,Agree strongly,0.854185660384785,,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,0.48571799458730086
45-54,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,Agree strongly,1.3013507084281994,24.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,1.376350960402842
65-74,Male,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,4.0,Always wrong,Neither agree or disagree,Disagree,Agree,Agree,Agree strongly,Agree strongly,1.041069712012706,,Limiting,,Not very important,,0.8250245268093562
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,4.0,Depends/Don't know,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-1.9149891759281745,,None,,Not important at all,,0.7916543306889705
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Agree,Agree,Agree,Agree strongly,Agree,Agree strongly,1.0543623631854786,,None,No,Not very important,,0.3087967791565711
55-64,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Not wrong at all,Disagree,Agree,Agree,Agree strongly,Agree,Agree,0.4532496212678786,,Limiting,,Not important at all,,0.6479240438646328
25-34,Male,Not answered,Heterosexual/straight,Managerial and prof occupations,2.0,Always wrong,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Neither agree or disagree,Agree,-0.023298587041264168,,None,No,Fairly important,Living with partner,0.9210289240345753
55-64,Female,Not white,Heterosexual/straight,Lower supervisory and technical occupations,2.0,Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,0.1367343142461356,21.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.4805015979926
16-24,Male,Not white,Heterosexual/straight,Student in full-time education,3.0,Rarely wrong,Agree,Agree,Disagree,Neither agree or disagree,Agree,Agree strongly,-0.2383122264982948,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5116142368729286
25-34,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Rarely wrong,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-0.36010866767201877,,Non-limiting,No,Not very important,Living with partner,0.9925567786023117
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Mostly wrong,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,-0.5099480442118971,29.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.6939589620815197
16-24,Male,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Disagree,Agree strongly,Agree,Agree,Neither agree or disagree,Agree strongly,0.8852175658440162,,None,Yes,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.4755967546312171
35-44,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,[least deprived],Rarely wrong,Disagree,Disagree,Agree strongly,Disagree,Neither agree or disagree,Agree strongly,-0.10664975198556242,18.0,None,No,Not important at all,Living with partner,1.014467896719529
55-64,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,4.0,Mostly wrong,Neither agree or disagree,Agree,Agree,Disagree,Agree,Agree,0.15855224447130892,,Limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.2958480877292655
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Rarely wrong,Agree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-1.0511595629260577,22.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.8483469698153187
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree,Agree strongly,Disagree,Neither agree or disagree,Neither agree or disagree,Agree strongly,0.6196640447223793,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.699988394654119
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,0.6359068738712916,,None,Yes,Not very important,Married/In a civil partnership and living with spouse/partner,2.349966617035333
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Always wrong,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,-1.1403507011484273,27.0,None,No,Not important at all,Living with partner,1.629149119174874
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,0.10377748663001563,26.0,None,No,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,1.8884260983418812
16-24,Male,White,Heterosexual/straight,Student in full-time education,2.0,Sometimes wrong,Agree,Agree,Agree,Neither agree or disagree,Disagree,Agree,-0.805233345875178,,None,Yes,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,1.671593222091574
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Mostly wrong,Neither agree or disagree,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,1.7461401348588144,20.0,Limiting,Yes,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.7624749627764993
16-24,Female,Not white,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Rarely wrong,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree strongly,0.18032619453247997,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.369477315668341
35-44,Female,Not white,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Always wrong,Neither agree or disagree,Don't know,Don't know,Agree strongly,Neither agree or disagree,Don't know,,29.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.8663041581214509
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Not wrong at all,Agree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Agree,-1.601064953640797,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.559557197342008
45-54,Female,White,Heterosexual/straight,Intermediate occupations,4.0,Sometimes wrong,Agree,Agree,Disagree,Disagree,Agree,Agree,-0.676836547805942,31.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.1680653562274115
25-34,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Not wrong at all,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-0.7768590389184952,25.0,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5265444455688142
16-24,Female,White,Heterosexual/straight,Student in full-time education,4.0,Always wrong,Agree strongly,Agree,Agree,Disagree strongly,Disagree strongly,Agree strongly,-1.0269824135982903,,None,Yes,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.49083140353657745
35-44,Female,White,Heterosexual/straight,Never worked or long term unemployed,2.0,Always wrong,Disagree strongly,Agree strongly,Disagree,Agree,Agree,Agree,0.9944980123546295,21.0,None,No,Fairly important,Living with partner,1.2446543467434736
25-34,Female,White,Heterosexual/straight,Never worked or long term unemployed,4.0,Mostly wrong,Disagree,Agree,Agree,Agree,Agree,Agree,0.7749353738157699,19.0,None,No,Not important at all,Living with partner,0.3545111331333717
35-44,Male,White,Heterosexual/straight,Small employers and own account workers,3.0,Not wrong at all,Agree strongly,Neither agree or disagree,Disagree,Agree,Agree,Agree,-1.1154048492775916,,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.472356142106437
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Rarely wrong,Agree strongly,Disagree,Disagree,Agree strongly,Neither agree or disagree,Neither agree or disagree,-1.7727222604058488,30.0,None,No,Not very important,Living with partner,1.516329961791436
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Sometimes wrong,Agree,Agree,Disagree,Disagree,Agree strongly,Agree strongly,0.1117478330062795,21.0,None,No,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.7287669967159196
35-44,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,[most deprived],Mostly wrong,Neither agree or disagree,Disagree,Agree,Disagree,Agree strongly,Agree,0.08122688005918258,16.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,4.29512103913561
25-34,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Sometimes wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,0.6786656015881807,23.0,None,Yes,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.3469794810407599
65-74,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Always wrong,Disagree,Agree strongly,Neither agree or disagree,Agree,Agree,Agree,0.9556677042622942,19.0,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.0756267691975419
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Always wrong,Neither agree or disagree,Agree strongly,Agree strongly,Disagree,Neither agree or disagree,Agree strongly,0.8153553522924497,17.0,None,No,Not important at all,Living with partner,1.014467896719529
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,4.0,Sometimes wrong,Agree strongly,Agree,Neither agree or disagree,Agree,Agree,Agree,-0.3474332451615392,27.0,None,Yes,Not very important,Married/In a civil partnership and living with spouse/partner,0.6347540776230872
45-54,Female,Not white,Heterosexual/straight,Semi-routine and routine occupations,3.0,Mostly wrong,Agree,Agree,Agree,Agree,Agree strongly,Agree strongly,1.067220717412546,26.0,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,2.607035810694546
16-24,Male,Not white,Heterosexual/straight,Student in full-time education,3.0,Depends/Don't know,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,-2.375331427460995,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.44346804520001415
65-74,Male,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Sometimes wrong,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,0.17406819720092462,,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.7687656755404406
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Always wrong,Disagree,Agree,Disagree,Disagree,Agree strongly,Agree strongly,0.9452485754992319,24.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.7574818640001757
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,4.0,Mostly wrong,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-0.49250716932539274,,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.1995970960639473
45-54,Male,White,Heterosexual/straight,Intermediate occupations,[most deprived],Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Agree strongly,Agree,0.0836719054495507,,Limiting,No,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,1.7247785480498046
55-64,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Disagree,Disagree,Disagree,Agree,Disagree,Agree,-0.6491555956909476,19.0,Limiting,Yes,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,0.5863012222321785
55-64,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Mostly wrong,Agree,Agree,Agree,Agree,Agree,Agree strongly,0.7016447051783561,25.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.5140862863136135
16-24,Male,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree,Agree strongly,Agree,0.26629228568037355,,None,Yes,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.1842011003400288
65-74,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Always wrong,Disagree strongly,Agree strongly,Disagree,Disagree,Agree strongly,Agree strongly,1.4148487824301128,32.0,None,No,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.5411735798313988
65-74,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Mostly wrong,Disagree,Agree,Agree strongly,Disagree,Agree,Don't know,,22.0,None,No,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,0.5411735798313988
25-34,Female,White,Heterosexual/straight,Intermediate occupations,[most deprived],Depends/Don't know,Disagree,Agree strongly,Disagree,Neither agree or disagree,Agree,Agree,-0.6179742800927368,27.0,Limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,0.7820443754701072
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,-0.7942630414324093,27.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.46618822987400416
16-24,Male,White,Heterosexual/straight,Never worked or long term unemployed,4.0,Not wrong at all,Agree,Agree strongly,Don't know,Agree,Neither agree or disagree,Agree strongly,,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.28458548617394
25-34,Female,White,Not heterosexual/straight,Small employers and own account workers,4.0,Not wrong at all,Agree strongly,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree,-0.7246264318963833,,None,No,Not very important,Living with partner,0.9955746874042146
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Not wrong at all,Agree,Agree,Neither agree or disagree,Disagree,Disagree,Agree,-1.5358710670364415,22.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.6993886680601501
25-34,Female,Not white,Heterosexual/straight,Student in full-time education,4.0,Not wrong at all,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,-1.8026226338956706,,None,No,Fairly important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,1.3166184380202384
16-24,Female,White,Heterosexual/straight,Student in full-time education,2.0,Depends/Don't know,Disagree strongly,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,-0.3402524087907391,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.3543034575933448
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree,-0.2807429334196372,,None,No,Not important at all,Living with partner,0.27024784328664525
16-24,Male,White,Heterosexual/straight,Student in full-time education,[least deprived],Mostly wrong,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-0.876685229811089,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8670346628838155
16-24,Male,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,Agree strongly,-0.22712934894334585,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.8670346628838155
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,3.0,Always wrong,Disagree,Agree,Disagree,Agree strongly,Agree strongly,Agree,1.0745906230263076,21.0,Limiting,No,Very important,Widowed and not in a steady & ongoing relationship in last year,0.5378133845987709
25-34,Female,Not white,Heterosexual/straight,Semi-routine and routine occupations,4.0,Rarely wrong,Agree,Agree,Agree,Disagree,Agree strongly,Agree,-0.06122296717973083,27.0,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.40777191306804317
35-44,Female,Not white,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Always wrong,Disagree strongly,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,2.1765184090506073,23.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.405184427956705
65-74,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Rarely wrong,Agree,Disagree,Disagree,Disagree,Agree,Agree,-1.2883387770910117,35.0,None,No,Fairly important,In a steady & ongoing relationship  but not living with a partner in last year,1.5149637280003514
25-34,Female,Not white,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree strongly,Agree,Agree,Agree,Agree strongly,Agree strongly,1.9802701258744677,21.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,0.48104866500167814
25-34,Female,Not white,Heterosexual/straight,Intermediate occupations,4.0,Mostly wrong,Agree,Disagree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,-0.4058142017582026,,None,No,Fairly important,In a steady & ongoing relationship  but not living with a partner in last year,0.4406020335982669
25-34,Female,Not white,Heterosexual/straight,Intermediate occupations,4.0,Not wrong at all,Agree strongly,Disagree,Disagree,Agree strongly,Agree,Agree strongly,-0.7297303636543491,,None,Yes,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5004048307490793
16-24,Male,White,Heterosexual/straight,Student in full-time education,4.0,Always wrong,Agree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree,Agree,0.2752518616784796,,Non-limiting,Yes,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.7477689628657862
35-44,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,3.0,Mostly wrong,Agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,-1.0996323432717934,,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.9818159367423805
16-24,Male,White,Heterosexual/straight,Small employers and own account workers,4.0,Depends/Don't know,Neither agree or disagree,Agree,Disagree,Disagree,Agree strongly,Agree strongly,-0.4831069115797653,,Limiting,No,Fairly important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.3731609429277927
35-44,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,4.0,Always wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.06362532027114573,24.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,2.8634140260904073
65-74,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Mostly wrong,Disagree,Agree,Disagree,Disagree,Agree,Agree strongly,0.4110717106262885,,None,,Very important,,0.5378133845987709
